1,undefined.undefined@gmail.com,1
1,undefined.undefined@gmail.com,1
0,undefined.undefined@gmail.com,1
1,undefined.undefined@gmail.com,1
0,undefined.undefined@gmail.com,9
1,undefined.undefined@gmail.com,9
0,undefined.undefined@gmail.com,6
1,undefined.undefined@gmail.com,9
0,undefined.undefined@gmail.com,4
0,undefined.undefined@gmail.com,5
0,undefined.undefined@gmail.com,1
1,undefined.undefined@gmail.com,10
1,undefined.undefined@gmail.com,10
0,undefined.undefined@gmail.com,7
0,undefined.undefined@gmail.com,6
1,undefined.undefined@gmail.com,6
1,undefined.undefined@gmail.com,7
0,undefined.undefined@gmail.com,8
1,undefined.undefined@gmail.com,3
1,undefined.undefined@gmail.com,1
